name,logP,B_mag,V_mag,I_mag,H_mag,J_mag,K_mag,BPmag,Gmag,"RPmag ",IRSB,gplx,EBV,E(BP-RP),Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,Radius_IRSB,Teq,Teff,RUWE,QLT,[Fe/H],Mass,RA_ICRS,DE_ICRS,DR3Name
TXCyg,1.167607,11.363,9.489,7.228,4.637,5.462,4.372,9.865825,8.521427,7.313938,10.438,10.297969519686204,1.13,,-3.856,-4.603,-5.429,-6.042,-6.462,-6.5,-6.716,-6.816,94.1,5161.0,,0.952,3,,6.4,315.02658089008,42.59755012053,Gaia DR3 2161786374436607616
UZSct,1.168739,13.124,11.247,9.184,6.746,7.534,6.534,11.622959,10.364139,9.268289,12.735,12.235944074870769,1.02,1.2352,-3.927,-4.781,-5.554,-6.163,-6.585,-6.593,-6.751,-6.89,95.8,5287.0,4964.0,0.913,2,0.2063,6.6,277.8431918063,-12.92871602632,Gaia DR3 4104869264724284544
RWCas,1.170032,10.462,9.233,7.871,6.367,6.934,6.237,9.516718,8.834319,8.018065,12.707,12.150423688538691,0.38,,-3.853,-4.705,-5.582,-6.131,-6.562,-6.616,-6.947,-6.95,98.4,5167.0,,1.262,3,,7.0,24.30840720487,57.75921601261,Gaia DR3 508915489570374272
SZCyg,1.179252,10.91,9.432,7.755,5.961,6.635,5.775,9.855323,8.952725,8.012443,11.621,11.579416265073641,0.571,,-3.127,-4.036,-4.988,-5.525,-5.994,-6.066,-6.467,-6.438,77.9,5038.0,,0.956,2,,4.1,308.22621041712,46.6012487157,Gaia DR3 2071433765909167232
SVMon,1.182801,9.31,8.256,7.133,5.826,6.345,5.726,8.755854,8.132302,7.3303633,11.481,11.493701472036832,0.234,0.4102,-3.161,-3.981,-4.808,-5.357,-5.792,-5.845,-6.09,-6.18,69.1,5209.0,5270.5,1.006,3,-0.1313,3.1,95.35960712119,6.47015262948,Gaia DR3 3324153371114695680
XCyg,1.214482,7.533,6.377,5.223,3.964,4.471,3.838,6.810588,6.199011,5.442217,10.285,10.119499113710727,0.228,,-3.716,-4.642,-5.51,-6.029,-6.454,-6.535,-6.852,-6.883,97.0,5151.0,,1.277,2,,5.9,310.85076233271,35.58777650649,Gaia DR3 1870258975238302208
CDCyg,1.232334,10.217,8.948,7.448,5.89,6.463,5.72,9.376083,8.587173,7.6942596,11.945,11.831463238585702,0.493,0.9644,-3.814,-4.592,-5.465,-5.947,-6.344,-6.414,-6.822,-6.736,89.3,5269.0,5977.7,1.007,1,-0.0117,4.0,301.1106612854,34.11224946615,Gaia DR3 2058374144759464064
SZAql,1.234029,10.033,8.634,7.018,5.347,5.955,5.16,9.052635,8.201151,7.225074,11.65,11.256058008028884,0.534,,-3.876,-4.742,-5.68,-6.198,-6.615,-6.695,-7.138,-7.037,104.2,5107.0,,0.94,2,,6.5,286.16423460279,1.30614320294,Gaia DR3 4267549637851481344
VYCar,1.276818,8.642,7.463,6.28,4.945,5.463,4.806,8.046384,7.337772,6.535224,11.344,11.096359923379694,0.242,,-3.726,-4.662,-5.539,-6.109,-6.541,-6.631,-6.898,-6.989,102.1,5090.0,,0.916,1,,5.5,161.13616016361,-57.56535723495,Gaia DR3 5351161399793209984
VXCyg,1.303917,11.769,10.062,8.161,6.083,6.816,5.905,10.519523,9.421895,8.398459,12.343,12.23020280080577,0.753,1.2215,-3.76,-4.716,-5.661,-6.238,-6.701,-6.728,-7.131,-7.065,107.7,5047.0,5539.5,0.998,3,0.163,5.7,314.33678002732,40.17748649759,Gaia DR3 1873250780732545920
RZVel,1.309564,8.216,7.09,5.867,4.46,4.979,4.308,7.60386,6.850103,6.022648,10.684,10.793705173405876,0.3,0.693,-3.737,-4.568,-5.406,-5.988,-6.4,-6.491,-6.713,-6.837,95.7,5136.0,5227.3,1.244,2,-0.9696,4.4,129.2554000675,-44.1146536029,Gaia DR3 5523162573544337408
WZSgr,1.339443,9.424,8.03,6.497,4.765,5.404,4.568,8.565777,7.682094,6.786537,11.279,10.967760656251567,0.435,0.6122,-3.695,-4.656,-5.636,-6.285,-6.768,-6.879,-7.158,-7.287,119.6,4829.0,4696.3,0.944,2,-0.9491,6.5,274.24882157138,-19.07583147548,Gaia DR3 4094784475310672128
BMPer,1.360896,12.21,10.401,8.214,6.012,6.8,5.773,10.963252,9.701406,8.599287,12.275,12.166066800810436,0.871,,-3.751,-4.69,,-6.297,-6.773,-6.837,,-7.209,119.4,4860.0,,0.991,2,,6.1,67.4141211273,48.42196837944,Gaia DR3 258412862056729472
WZCar,1.361977,10.427,9.266,7.963,6.456,7.009,6.29,9.702198,8.997776,8.172882,12.742,12.483841530446382,0.372,0.7831,-3.89,-4.676,-5.509,-6.084,-6.503,-6.595,-6.799,-6.946,101.1,5143.0,5451.5,1.376,2,-0.1606,4.2,163.8279757782,-60.93997649537,Gaia DR3 5338182833266967680
SWVel,1.370016,9.281,8.128,6.844,5.39,5.931,5.231,8.536652,7.787433,6.929191,12.036,11.74250303919865,0.344,,-4.21,-5.02,-5.868,-6.429,-6.847,-6.937,-7.184,-7.287,117.6,5157.0,,1.049,3,,5.7,130.91118029355,-47.4030901241,Gaia DR3 5329352998951582976
XPup,1.414321,9.702,8.507,7.107,5.6,6.18,5.431,9.122233,8.347651,7.4251447,12.238,11.818070902897958,0.421,,-4.317,-5.095,-5.957,-6.455,-6.884,-6.969,-7.302,-7.322,120.5,5188.0,,1.038,2,,5.3,113.19596459365,-20.90968216106,Gaia DR3 5620098679741674496
TMon,1.431915,7.307,6.128,4.98,3.652,4.183,3.525,6.798715,6.124317,5.286486,10.585,10.593288288206026,0.179,0.2646,-4.035,-5.036,-5.957,-6.571,-7.038,-7.129,-7.386,-7.512,133.5,4958.0,4865.6,1.724,2,-0.1455,6.3,96.30416910585,7.08569727313,Gaia DR3 3324535073449061504
AQPup,1.478624,10.081,8.705,7.14,5.483,6.102,5.299,9.253232,8.315241,7.36962,12.57,12.415260552745407,0.518,0.6648,-4.681,-5.545,-6.448,-6.956,-7.39,-7.47,-7.858,-7.823,152.7,5147.0,4386.9,1.18,2,0.3209,7.3,119.59202293226,-29.13008221932,Gaia DR3 5597379741549105280
KNCen,1.531857,11.468,9.856,7.996,5.756,6.517,5.49,10.297581,9.240802,8.212314,12.983,12.70949627515709,0.791,,-4.862,-5.685,-6.541,-7.212,-7.69,-7.797,-7.872,-8.199,185.8,4930.0,,1.034,3,,9.5,204.15365781403,-64.55831585329,Gaia DR3 5864135319959353600
lCar,1.550816,5.009,3.729,2.557,1.212,1.766,1.093,4.179304,3.471174,2.6760821,8.496,8.496721691503382,0.146,0.474,-4.105,-5.238,-6.226,-6.867,-7.37,-7.459,-7.756,-7.866,160.9,4835.0,5488.4,2.393,2,-0.0584,6.6,146.31159319123,-62.50786736246,Gaia DR3 5250032958818831360
UCar,1.58897,7.469,6.292,5.057,3.67,4.193,3.522,6.809177,6.157681,5.338781,10.743,11.122760074756943,0.263,0.3809,-4.387,-5.3,-6.202,-6.798,-7.227,-7.322,-7.601,-7.681,147.1,5043.0,4868.4,1.229,2,-1.2903,4.9,164.45072523345,-59.73217920344,Gaia DR3 5338359442320395904
RSPup,1.61742,8.442,7.01,5.489,3.827,4.44,3.647,7.594005,6.638235,5.7406473,11.288,11.05487314490565,0.457,,-4.779,-5.756,-6.696,-7.279,-7.728,-7.817,-8.158,-8.187,186.1,5004.0,,1.157,2,,7.5,123.26754647233,-34.57851289632,Gaia DR3 5546476927338700416
